found_date,id,title,company,location,created,salary_min,salary_max,category,url
2026-07-06,5789480008,"Research Engineer, Frontier Safety Risk Assessment, DeepMind",Google,"London, UK",2026-07-06,60312.56,60312.56,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789480008?utm_medium=api&utm_source=bce444a8
2026-07-06,5789179863,Machine Learning Engineer,Barclays,"Glasgow, Scotland",2026-07-05,65062.47,65062.47,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789179863?se=wu7QUi158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=D69A0C4CFE5B1B65B38C5DC5FDF5FB0DE3E4BE03
2026-07-06,5789298167,CTO (Chief Technology Officer) - Remote,Smile Digital,"Farringdon, Central London",2026-07-05,80000,90000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789298167?se=nkVrUy158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=EBDB4C6BC606247287A6C6418532EF422F77A970
2026-07-06,5789235925,Gen AI Platform Engineer (Azure & Terraform),Optimus E2E,"London, UK",2026-07-05,57140.81,57140.81,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789235925?se=nkVrUy158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=28B816FB6959A21CD7258D52CEABD00831281DF0
2026-07-06,5789182707,AI Engineer,Reward Gateway,"London, UK",2026-07-05,80000,90000,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789182707?utm_medium=api&utm_source=bce444a8
2026-07-06,5789182429,AI Engineer (Amazon Bedrock),CreateFuture,"London, UK",2026-07-05,73161.05,73161.05,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789182429?utm_medium=api&utm_source=bce444a8
2026-07-06,5789181226,Public Cloud - Google Cloud Engineer,Lloyds Bank,UK,2026-07-05,72702,80780,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789181226?se=nkVrUy158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=903846D18B8260B2984BD230BF974360CCDDF531
2026-07-06,5789180978,"Partner Forward Deployed Engineer III, Generative AI (French, German)",Google,"London, UK",2026-07-05,84669.76,84669.76,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789180978?se=nkVrUy158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=742A104CDE99FC71DBE7579913F9D0DDE45EC902
2026-07-06,5789180443,"Software Engineer, Platform - Durham, NC, USA",Speechify,UK,2026-07-05,74197.03,74197.03,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789180443?utm_medium=api&utm_source=bce444a8
2026-07-06,5789180215,STA | AI Systems Technology Architect | London,Infosys,"London, UK",2026-07-05,57944.63,57944.63,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789180215?utm_medium=api&utm_source=bce444a8
